Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Asite_IsAlkali_max,Bsite_IsMetal_max
Ba2Sr6Co8O24,Ba,Sr,,Co,,,O,4,106.7457587,-1.210712992,6,136.9,58.9332,758,1.00625,5.85125,7.558341216,-0.3975,-4.411689955,34.4,1.54375,647.925,-34.5,20.8925,33.125,6.717125,53.62375,20.55715,-0.0725,-6.725,1.744835546,0.709564644,0.368939191,55.58,-0.99,2.5275,0.8325,3143,1.67,17.06,17.9,1.42,-1.67793991,2.22,2.76,39.24,3143,1.67,7.86,33.5,1.44,-1.92352226,0,0,2.45,58,1.75,0.17,0.597912362,0,0,0,0,0,0,27,4,1,3,0,0,0,0,0,2,27,1,0,1,1
Ba2Sr6Fe4Co4O24,Ba,Sr,,Fe,Co,,O,5,109.488956,-1.340597884,6,136.9,55.847,759.3,1.03225,5.59475,7.570973385,-0.44625,-4.712963759,34.55,1.54625,648.25,-46,20.9925,32.375,6.719625,48.67375,21.3287,-0.0795,-5.05,1.736867817,0.708956699,0.381087438,55.58,-0.99,2.5275,0.8325,3083,1.695,16.62,14.55,1.42,-1.67793991,2.22,2.76,39.24,3143,1.72,7.87,33.5,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,26.5,4,1,3.5,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe4Ni4O24,Ba,Sr,,Fe,Ni,,O,5,183.2712842,-1.143708571,6,136.9,55.847,759.3,1.01975,5.59475,7.566120694,-0.4925,-4.329447615,34.475,1.54375,642.925,-35.75,20.965,33.125,6.663375,46.34875,21.38865,-0.08525,-4.225,1.739920025,0.719050802,0.378885832,55.58,-0.99,2.5275,0.8325,3014,1.67,17.174,12.9,1.42,-1.67793991,2.22,2.76,39.24,3023,1.72,7.87,35.17,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,27,4,1,3,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe6Co2O24,Ba,Sr,,Fe,Co,,O,5,105.7221796,-1.410678704,6,136.9,55.847,759.3,1.04525,5.4665,7.57728947,-0.470625,-4.863600661,34.625,1.5475,648.4125,-51.75,21.0425,32,6.720875,46.19875,21.714475,-0.083,-4.2125,1.732911179,0.708653118,0.387466592,55.58,-0.99,2.5275,0.8325,3053,1.7075,16.4,12.875,1.42,-1.67793991,2.22,2.76,39.24,3143,1.72,7.87,33.5,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,26.25,4,1,3.75,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe6Ni2O24,Ba,Sr,,Fe,Ni,,O,5,135.9544601,-1.314627173,6,136.9,55.847,759.3,1.039,5.4665,7.574863124,-0.49375,-4.671842589,34.5875,1.54625,645.75,-46.625,21.02875,32.375,6.69275,45.03625,21.74445,-0.085875,-3.8,1.734429001,0.713660187,0.386325386,55.58,-0.99,2.5275,0.8325,3018.5,1.695,16.677,12.05,1.42,-1.67793991,2.22,2.76,39.24,3023,1.72,7.87,35.17,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,26.5,4,1,3.5,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe7Co1O24,Ba,Sr,,Fe,Co,,O,5,113.0606437,-1.43325399,6,136.9,55.847,759.3,1.05175,5.402375,7.580447512,-0.4828125,-4.938919112,34.6625,1.548125,648.49375,-54.625,21.0675,31.8125,6.7215,44.96125,21.9073625,-0.08475,-3.79375,1.730939612,0.708501424,0.390736932,55.58,-0.99,2.5275,0.8325,3038,1.71375,16.29,12.0375,1.42,-1.67793991,2.22,2.76,39.24,3143,1.72,7.87,33.5,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,26.125,4,1,3.875,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe7Ni1O24,Ba,Sr,,Fe,Ni,,O,5,110.2858358,-1.399373849,6,136.9,55.847,759.3,1.048625,5.402375,7.579234339,-0.494375,-4.843040076,34.64375,1.5475,647.1625,-52.0625,21.060625,32,6.7074375,44.38,21.92235,-0.0861875,-3.5875,1.731696465,0.710995076,0.390155807,55.58,-0.99,2.5275,0.8325,3020.75,1.7075,16.4285,11.625,1.42,-1.67793991,2.22,2.76,39.24,3023,1.72,7.87,35.17,1.44,-1.92352226,0,0,2.45,55,1.75,0.17,0.597912362,0,0,0,0,0,0,26.25,4,1,3.75,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Fe8O24,Ba,Sr,,Fe,,,O,4,89.50296147,-1.479234775,6,136.9,55.847,759.3,1.05825,5.33825,7.583605554,-0.495,-5.014237563,34.7,1.54875,648.575,-57.5,21.0925,31.625,6.722125,43.72375,22.10025,-0.0865,-3.375,1.728972526,0.708349796,0.394062947,55.58,-0.99,2.5275,0.8325,3023,1.72,16.18,11.2,1.42,-1.67793991,2.22,2.76,39.24,3023,1.72,7.87,30.651,1.44,-1.92352226,0,0,2.45,55,1.77,0.17,0.597912362,0,0,0,0,0,0,26,4,1,4,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Mn1Fe7O24,Ba,Sr,,Mn,Fe,,O,5,102.7754203,-1.49147175,6,136.9,55.847,759.3,1.0573125,5.311125,7.5812151,-0.493599138,-5.060180118,34.73125,1.54875,645.95625,-59,21.110625,31.4375,6.6949375,39.2,22.1570625,-0.0884375,-2.70625,1.730461084,0.713269789,0.413241119,55.58,-0.99,2.5275,0.8325,2924.5,1.72875,16.1125,9.8625,1.42,-1.67793991,2.22,2.76,39.24,3023,1.79,7.87,33.667,1.44,-1.92352226,0,0,2.45,52,1.61,0.17,0.597912362,0,0,0,0,0,0,25.875,4,1,4.125,0,0,0,0,0,2,26,0,0,1,1
Ba2Sr6Mn2Fe6O24,Ba,Sr,,Mn,Fe,,O,5,96.03603838,-1.519664725,6,136.9,55.847,759.3,1.056375,5.284,7.578824646,-0.492198276,-5.106122674,34.7625,1.54875,643.3375,-60.5,21.12875,31.25,6.66775,34.67625,22.213875,-0.090375,-2.0375,1.731952207,0.718258605,0.434381505,55.58,-0.99,2.5275,0.8325,2826,1.7375,16.045,8.525,1.42,-1.67793991,2.22,2.76,39.24,3023,1.79,7.87,33.667,1.44,-1.92352226,0,0,2.45,52,1.61,0.17,0.597912362,0,0,0,0,0,0,25.75,4,1,4.25,0,0,0,0,0,2,26,0,0,1,1
