Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom),num_of_atoms_host_Asite0,host_Asite0_Heat of Vaporization,host_Bsite0_at. wt.,host_Bsite0_Ionization Energy (kJ/mol),shannon_radii_AB_avg,Density_AB_avg,BCCefflatcnt_AB_avg,BCCvolume_padiff_AB_avg,GSenergy_pa_AB_avg,ICSDVolume_AB_avg,covalent radius_AB_avg,Ionization Energy (kJ/mol)_AB_avg,Electron Affinity (kJ/mol)_AB_avg,Atomic Volume (cm³/mol)_AB_avg,MendeleevNumber_AB_avg,First Ionization Potential (V)_AB_avg,thermal conductivity_AB_avg,at. wt._AB_diff,specific heat capacity_AB_diff,electrical conductivity_AB_diff,BCCefflatcnt_AB_ratio,Ionization Energy (kJ/mol)_AB_ratio,Heat of Vaporization_AB_ratio,Asite_BCCvolume_pa_weighted_avg,Asite_BCCvolume_padiff_weighted_avg,Asite_At. Radius   (angstroms)_weighted_avg,Asite_n_ws^third_weighted_avg,Bsite_ BP (K)_weighted_avg,Bsite_At. Radius   (angstroms)_weighted_avg,Bsite_Second Ionization Potential  (V)_weighted_avg,Bsite_electrical conductivity_weighted_avg,Asite_Ionic Radius (angstroms)_max,Asite_BCCenergy_pa_max,Asite_Atomic Radius (Å)_max,Asite_At. Radius   (angstroms)_max,Asite_Atomic Volume (cm³/mol)_max,Bsite_ BP (K)_max,Bsite_At. Radius   (angstroms)_max,Bsite_First Ionization Potential (V)_max,Bsite_Third Ionization Potential  (V)_max,Asite_shannon_radii_min,Asite_BCCenergy_pa_min,Asite_BCCenergydiff_min,Asite_GSmagmom_min,Asite_At. Radius   (angstroms)_min,Bsite_MendeleevNumber_min,Bsite_n_ws^third_min,Asite_shannon_radii_range,Asite_BCCefflatcnt_range,Asite_IsBoron_weighted_avg,Asite_IsHalogen_weighted_avg,Asite_IsPnictide_weighted_avg,Asite_IsRareEarth_weighted_avg,Asite_NfUnfilled_weighted_avg,Asite_NfValence_weighted_avg,Bsite_At. #_weighted_avg,Bsite_Period_weighted_avg,Bsite_IsMetal_weighted_avg,Bsite_NdUnfilled_weighted_avg,Bsite_NpUnfilled_weighted_avg,host_Asite0_IsBCC,host_Asite0_IsCubic,host_Asite0_IsAlkali,host_Asite0_OrbitalD,host_Asite0_NsValence,host_Bsite0_At. #,host_Bsite0_IsHexagonal,host_Bsite0_IsNoblegas,Asite_IsAlkali_max,Bsite_IsMetal_max
La8Mg4Ni4O24,La,,,Mg,Ni,,O,4,0,-2.349057441,8,399.57,24.305,737.7,0.98,5.735,7.376418086,0.28625,-4.235922313,27.25,1.2525,637.65,-4.75,15.505,38.75,6.61025,68.425,48.70315,-0.271,-8.3,1.334029115,0.729924037,1.58214215,37.47,0.5725,2.74,1.18,2192.5,1.67,16.6015,18.5,1.16,-4.79586452,1.877,2.74,20.73,3005,1.72,7.646,80.143,1.36,-4.79586452,0.131681665,0,2.74,61,1.17,0,0,0,0,0,1,0,0,20,3.5,1,1,0,0,0,0,1,2,12,1,0,0,1
La8Mg4Sc4O24,La,,,Mg,Sc,,O,4,89.91354036,-2.761862356,8,399.57,24.305,737.7,1.04625,4.2575,7.774948309,0.275,-4.420719443,30.775,1.325,611.225,-27.975,17.6075,26.25,6.3365,49.7,52.137525,-0.302,-5.025,1.184643224,0.786293563,1.848149861,37.47,0.5725,2.74,1.18,2244.5,1.905,13.9175,11.95,1.16,-4.79586452,1.877,2.74,20.73,3109,2.09,7.646,80.143,1.36,-4.79586452,0.131681665,0,2.74,11,1.17,0,0,0,0,0,1,0,0,16.5,3.5,1,4.5,0,0,0,0,1,2,12,1,0,0,1
La8Mg4Ti4O24,La,,,Mg,Ti,,O,4,22.18427375,-2.903747209,8,399.57,24.305,737.7,1.01125,4.645,7.619149387,0.32125,-4.79314795,28.95,1.295,617.975,-27.5,16.5175,34.25,6.4065,51.225,51.4065,-0.29075,-5.3,1.238877758,0.771082611,1.445622287,37.47,0.5725,2.74,1.18,2470,1.86,14.3075,12.5,1.16,-4.79586452,1.877,2.74,20.73,3560,2,7.646,80.143,1.36,-4.79586452,0.131681665,0,2.74,43,1.17,0,0,0,0,0,1,0,0,17,3.5,1,4,0,0,0,0,1,2,12,1,0,0,1
La8Mg4V4O24,La,,,Mg,V,,O,4,0,-2.836059896,8,399.57,24.305,737.7,1.005,5.0375,7.486069001,0.28375,-5.084156343,28,1.27,615.975,-20,16.0525,35,6.3865,53.425,50.641125,-0.28225,-5.65,1.289296349,0.775527852,1.391502699,37.47,0.5725,2.74,1.18,2515,1.82,14.8425,13.2,1.16,-4.79586452,1.877,2.74,20.73,3650,1.92,7.646,80.143,1.36,-4.79586452,0.131681665,0,2.74,46,1.17,0,0,0,0,0,1,0,0,17.5,3.5,1,3.5,0,0,0,0,1,2,12,1,0,0,1
La8Mn1Co7O24,La,,,Mn,Co,,O,4,27.99263983,-1.891598461,8,399.57,58.9332,758,0.9505625,7.43375,6.970465079,0.372963362,-6.125228672,24.31875,1.205625,645.5125,55.625,13.758125,35.125,6.6934375,50.98875,40.23585,-0.1191875,-6.9125,1.530641043,0.714679417,1.12839412,37.47,0.5725,2.74,1.18,3029.5,1.685,16.8825,15.725,1.16,-4.79586452,1.877,2.74,20.73,3143,1.79,7.86,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,26.75,4,1,3.25,0,0,0,0,1,2,27,1,0,0,1
La8Mn1Cr7O24,La,,,Mn,Cr,,O,4,0,-2.403381139,8,399.57,51.996,652.8,0.9593125,6.685625,7.025363724,0.278900862,-7.186309407,24.7125,1.214375,599.4875,53,13.99,31.1875,6.2148125,48.2325,43.270875,-0.1314375,-2.5375,1.500729904,0.814223567,1.231226697,37.47,0.5725,2.74,1.18,2856.25,1.8425,16.3925,6.975,1.16,-4.79586452,1.877,2.74,20.73,2945,1.85,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,49,1.61,0,0,0,0,0,1,0,0,24.125,4,1,5,0,0,0,0,1,2,24,0,0,0,1
La8Mn1Fe7O24,La,,,Mn,Fe,,O,4,0,-2.185010208,8,399.57,55.847,759.3,0.9960625,6.984875,6.992571375,0.287650862,-6.652457828,24.58125,1.21,646.08125,35.5,13.933125,33.8125,6.6978125,42.32625,41.5860625,-0.1314375,-3.98125,1.518454332,0.713601326,1.198901824,37.47,0.5725,2.74,1.18,2924.5,1.72875,16.1125,9.8625,1.16,-4.79586452,1.877,2.74,20.73,3023,1.79,7.87,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,25.875,4,1,4.125,0,0,0,0,1,2,26,0,0,0,1
La8Mn1Ga7O24,La,,,Mn,Ga,,O,4,33.43611227,-2.311791151,8,399.57,69.723,578.8,0.9899375,6.125625,7.44698598,-0.113755388,-4.345420115,28.0375,1.249375,567.1125,37.6875,15.989375,42.125,5.87925,25.00125,35.5153125,-0.0973125,0.13125,1.304892268,0.902663032,1.588621183,37.47,0.5725,2.74,1.18,2447.625,1.8075,19.90125,1.6375,1.16,-4.79586452,1.877,2.74,20.73,2478,1.81,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,52,1.31,0,0,0,0,0,1,0,0,30.25,4,1,0.625,4.375,0,0,0,1,2,31,0,0,0,1
La8Mn1Ni7O24,La,,,Mn,Ni,,O,4,100.4570447,-1.636347476,8,399.57,58.6934,736.7,0.9286875,7.43375,6.961972869,0.292025862,-5.45407542,24.1875,1.20125,636.19375,73.5625,13.71,36.4375,6.595,46.92,40.3407625,-0.12925,-5.46875,1.535374778,0.73281923,1.116803622,37.47,0.5725,2.74,1.18,2908.75,1.64125,17.852,12.8375,1.16,-4.79586452,1.877,2.74,20.73,3005,1.79,7.635,35.17,1.36,-4.79586452,0.131681665,0,2.74,52,1.61,0,0,0,0,0,1,0,0,27.625,4,1,2.375,0,0,0,0,1,2,28,0,0,0,1
La8Mn1V7O24,La,,,Mn,V,,O,4,86.88965402,-2.384837022,8,399.57,50.9415,650,0.9724375,6.213125,7.15386197,0.287650862,-6.938484973,25.5,1.231875,598.2625,46.875,14.668125,29.875,6.2034375,20.67,43.73221875,-0.1489375,-0.83125,1.435089079,0.817253294,0.955155021,37.47,0.5725,2.74,1.18,3473.125,1.90375,14.77375,3.5625,1.16,-4.79586452,1.877,2.74,20.73,3650,1.92,7.435,33.667,1.36,-4.79586452,0.131681665,0,2.74,46,1.61,0,0,0,0,0,1,0,0,23.25,4,1,6.75,0,0,0,0,1,2,23,0,0,0,1
